"","kpc_control_1","kpc_control_2","kpc_control_3","kpc_knockdown_1","kpc_knockdown_2","kpc_knockdown_3"
"Gm17786",52.1285910585313,45.418030554891,46.010813717819,65.3765328934293,55.0448855201727,63.2288260350753
"Map1lc3b",482.737036525223,564.207083794561,495.566011969903,562.238182883492,534.839111546752,526.906883625628
"Zcchc14",35.9205417378115,36.4623625581519,36.3021099058021,56.4615511352344,53.4017546091227,42.1525506900502
"Klhdc4",49.062203349206,47.9767928396735,37.1463450198905,38.0372555016316,40.2567073207233,49.8166508155139
"Slc7a5",34.6063755766721,26.8670039902172,29.970346550139,40.4145839704836,44.3645345983481,32.5724255332206
"Banp",76.6596927331343,63.3293665483691,61.6291633284548,86.1781569958841,61.6174091643724,81.4310638330516
"Zfp469",28.9116555450678,17.2716454222825,16.4625847247242,7.72631752376892,12.3234818328745,10.5381376725126
"Zfpm1",57.3852557030891,63.3293665483691,50.2319892882611,57.0558832524474,52.5801891535978,49.8166508155139
"Zc3h18",42.0533171564623,53.0943174092387,61.2070457714106,58.2445474868734,38.6135764096734,65.1448510664413
"Cyba",171.279656335174,165.679857939673,114.393857958981,147.988697186035,165.134656560518,130.289702132883
"Mvd",221.217970458473,168.878310795651,149.007497636606,162.84700011636,107.62507467377,110.17143930354
"9330133O14Rik",12.2655508373015,15.9922642798912,13.0856442683705,18.4242956336028,19.7175709325992,12.4541627038785
"Rnf166",82.3544127647386,90.1963705385863,100.886096133566,130.753065786859,116.662294684545,105.381376725126
"Ctu2",97.248295924319,72.9247251163038,66.2724564559411,61.8105401901513,59.9742782533225,67.0608760978072
"Cdt1",140.177723854874,178.473669363586,140.565146495722,120.649419794238,119.12699105112,136.03777722698
"Aprt",421.409282338716,345.43290844565,306.879463971141,272.204109683551,285.904778522688,267.285491875546
"Galns",31.9780432543932,24.3082417054346,33.3472870064926,36.2542591499926,30.3979218544237,37.3624881116354
"Gm34962",78.8499696683667,71.6453439739125,62.4733984425432,64.1878686590033,74.7624564527718,71.850938676222
"Trappc2l",106.885514439342,94.6742045369558,81.8908060665769,117.677759208173,82.9781110080215,97.7172765996619
"Acsf3",33.7302648025791,26.8670039902172,18.1510549529011,20.8016241024548,23.003832754699,31.6144130175377
"Ankrd11",360.519583539255,394.689082427714,435.203201312581,491.512660935146,444.466911439006,491.460420545358
"2810013P06Rik",8.32305235388315,9.59535856793471,10.1308213690611,14.8583029303248,7.39408909972469,13.4121752195614
"Spg7",115.208566793225,108.107706532064,116.926563301246,93.904474519653,86.2643728301213,77.5990137703197
"Rpl13",3465.45616692472,3282.25232080487,2925.27467031638,3084.58368833544,3245.18354932361,2935.35034805259
"Cpne7",26.2833232227889,17.2716454222825,26.1712885367411,17.2356313991768,9.85878546629958,15.3282002509274
