"","kpc_control_1.sorted.bam","kpc_control_2.sorted.bam","kpc_control_3.sorted.bam","kpc_knockdown_1.sorted.bam","kpc_knockdown_2.sorted.bam","kpc_knockdown_3.sorted.bam"
"Gm36822",0,0,0,0,0,0
"Pantr1",0,0,0,0,0,0
"Gm20646",0,0,0,0,0,0
"Pou3f3",0,0,0,0,0,0
"2900092D14Rik",0,0,0,0,1,0
"Pantr2",0,0,0,0,0,0
"Dalir",0,0,0,0,0,0
"Gm53552",0,0,0,0,0,0
"Mrps9",128,70,115,114,59,44
"Gm23126",0,0,0,0,0,0
"Gm39633",0,0,0,0,1,0
"Gpr45",0,0,0,0,0,0
"Tgfbrap1",61,69,74,55,43,32
"Gm28782",0,0,0,0,0,0
"8430432A02Rik",0,0,0,1,0,1
"AI597479",14,6,11,8,4,3
"Fhl2",43,29,70,99,85,46
"Gm29040",0,0,0,0,0,0
"Gm29610",0,0,0,0,1,0
"Gm57530",0,0,0,0,0,0
"Nck2",8,3,14,12,11,9
"Gm38628",0,0,0,0,0,1
"Gm30634",0,0,0,0,0,0
"Ecrg4",0,0,0,1,0,0
"Uxs1",62,32,58,40,30,23
"Gm19587",486,311,515,375,287,180
"Gm26352",0,0,0,0,0,0
"Tpp2",39,35,54,30,15,22
"Mettl21c",0,0,0,0,0,0
"Ccdc168",0,0,3,0,2,1
"Tex30",0,7,17,15,7,8
"Poglut2",30,15,30,21,12,10
"Bivm",0,0,4,1,4,2
"Ercc5",24,18,42,35,19,18
"Mettl21e",0,0,0,0,0,0
"Gm28893",0,0,0,0,0,0
"Gm39635",0,0,0,0,0,0
"Gulp1",1,0,0,2,3,0
"4930521E06Rik",0,0,0,0,0,0
"Gm3489",0,0,0,0,0,0
"Gm19480",0,0,0,0,0,0
"Gm3496",0,0,0,0,0,0
"Col3a1",294,508,424,358,276,177
"Col5a2",22,109,174,89,83,56
"Gm39637",1,1,1,1,0,2
"Gm23216",0,0,0,0,0,0
"Gm51621",0,0,0,1,0,0
"Gm23974",0,0,0,0,0,0
"Wdr75",22,26,29,29,26,16
"Gm30900",0,0,0,0,0,0
"Slc40a1",1,2,5,3,3,1
"Stk-ps2",0,0,0,0,0,0
"Dnah7b",3,0,1,0,1,1
"Gm31046",0,0,0,0,0,0
"n-R5s211",0,0,0,0,0,0
"Dnah7c",0,0,0,0,0,0
"Slc39a10",4,2,10,7,6,1
"Gm39638",0,0,0,0,0,0
"Gm39639",0,0,0,0,0,0
"Mir6350",0,0,0,0,0,0
"Gm23240",0,0,0,0,0,0
"C230029F24Rik",0,0,0,0,0,0
"Gm3605",0,0,0,0,0,0
"Gm39640",0,0,0,0,0,0
"Gm20118",0,0,0,0,0,0
"Gm28321",1,0,0,1,0,0
"Tmeff2",6,8,8,3,8,4
"9330175M20Rik",0,0,0,0,0,0
"Cavin2",12,10,12,29,26,13
"Nabp1",3,3,10,8,2,1
"Gm17767",0,0,0,0,0,0
"Gm31636",0,0,0,0,0,0
"Myo1b",20,17,23,11,6,8
"Gm33795",0,0,0,0,0,0
"Gm8419",0,0,0,0,0,0
"Stat4",0,0,0,0,0,0
"Gm31812",0,0,0,0,1,0
"Stat1",165,125,171,127,103,112
"Gls",30,20,40,28,16,16
"Gm31867",0,0,0,0,0,0
"Gm31955",0,0,0,0,0,0
"Gm23460",0,0,0,0,0,0
"Nab1",17,28,123,31,39,31
"Gm53065",1,0,0,0,0,1
"Gm28178",0,0,0,0,0,0
"Gm5527",36,15,32,17,13,23
"Nemp2",10,8,11,18,7,4
"Mfsd6",1,7,6,7,3,7
"Inpp1",17,13,33,14,12,12
"Hibch",13,7,6,7,6,6
"1700019D03Rik",0,0,1,1,0,1
"Mstn",0,0,2,0,0,0
"Gm24349",0,0,0,0,0,0
"1700019A02Rik",0,0,1,0,0,0
"Pms1",0,4,3,3,5,1
"Gm28777",0,0,0,0,0,0
"Ormdl1",15,10,11,6,7,7
"Osgepl1",9,3,8,4,4,0
"Asnsd1",38,22,30,29,21,15
"Asdurf",0,0,0,0,0,0
"Gm53553",0,0,0,0,0,0
"Dnah7a",0,0,0,0,0,0
"Gm32311",3,1,5,5,6,2
"Stk17b",11,10,16,7,6,4
"Hecw2",2,0,2,0,2,2
"Mir7681",0,0,0,0,0,0
"Gm24251",0,0,0,0,0,0
"Gm51622",1,0,1,1,0,0
"Gm25829",0,0,0,0,0,0
"Ccdc150",0,0,0,0,0,0
"Gtf3c3",8,4,13,7,9,13
"Gm34066",0,0,0,0,0,0
"Pgap1",2,1,0,1,1,1
"Gm51623",0,0,0,0,0,0
"Gm19637",0,0,0,0,0,0
"Ankrd44",1,2,1,0,2,2
"4930444A19Rik",0,0,0,0,0,0
"Sf3b1",141,96,144,97,82,60
"Coq10b",4,8,19,7,8,5
"Hspd1",391,323,480,257,227,205
"Hspe1",514,330,453,292,222,134
