"","kpc_control_1.sorted.bam","kpc_control_2.sorted.bam","kpc_control_3.sorted.bam","kpc_knockdown_1.sorted.bam","kpc_knockdown_2.sorted.bam","kpc_knockdown_3.sorted.bam"
"Gm46017",0,0,0,0,0,0
"Akap13",61,23,60,35,27,33
"AU020206",73,40,79,64,44,38
"Gm51489",0,0,0,0,0,0
"Klhl25",69,27,44,26,25,21
"Gm51413",0,0,0,0,0,0
"Gm51518",0,0,0,0,0,0
"Agbl1",0,0,0,0,0,0
"Gm30774",0,0,0,0,0,0
"Gm33069",0,0,0,0,0,0
"Gm23239",0,0,0,0,0,0
"Gm53379",0,0,0,0,0,0
"Gm46012",0,0,0,0,0,0
"Ntrk3",0,1,0,1,0,1
"Gm39038",0,0,0,0,0,0
"Gm9885",0,0,0,0,0,0
"E430016F16Rik",0,0,0,0,0,0
"Gm30892",0,0,0,0,0,0
"Mrpl46",97,54,87,69,36,36
"Mrps11",298,174,271,216,113,131
"Det1",9,12,15,13,5,11
"Gm57212",0,0,0,0,0,0
"Mir7-2",0,0,0,0,0,0
"Gm39039",1,0,0,1,0,0
"Aen",100,46,73,60,44,38
"Isg20",42,31,50,39,35,18
"Gm31213",0,0,0,0,0,0
"Gm26633",0,0,0,0,0,0
"Acan",0,0,0,0,0,1
"Hapln3",1,0,0,1,3,0
"Mfge8",1400,719,812,950,577,526
"Gm39040",0,0,0,0,0,0
"Gm31510",0,0,0,0,0,0
"Abhd2",12,11,18,18,7,6
"Gm39041",0,0,0,0,0,1
"Gm24224",0,0,0,0,0,0
"Rlbp1",0,0,0,0,0,0
"Fanci",5,7,8,5,4,6
"Gm31653",0,0,0,0,0,0
"Gm16017",0,0,0,0,0,0
"Polg",107,68,81,77,63,48
"n-TRtcg5",0,0,0,0,0,0
"Mir9-3hg",0,0,0,0,0,0
"Mir9-3",0,0,0,0,0,0
"Mir9b-3",0,0,0,0,0,0
"Gm31740",0,0,0,0,0,0
"Rhcg",0,0,0,0,0,0
"Ticrr",37,23,29,27,11,16
"Kif7",3,1,2,1,1,3
"LOC118567517",0,0,0,0,0,0
"Plin1",0,0,0,0,1,0
"Pex11a",55,31,60,43,32,22
"Wdr93",0,0,1,0,3,3
"Gm44705",380,269,444,252,227,159
"Mesp1",1,0,0,0,0,0
"Mesp2",1,0,2,0,0,0
"Anpep",3,4,5,4,2,0
"Ap3s2",119,68,85,82,60,37
"5430400D12Rik",13,10,16,13,17,12
"Arpin",7,0,4,9,3,3
"Gm31966",1,0,0,1,0,0
"Zfp710",54,40,45,58,28,32
"Gm21057",0,0,0,0,0,0
"Idh2",278,186,287,190,147,122
"Gm53380",0,0,0,0,0,0
"Gm45202",0,0,0,0,0,0
"Sema4b",12,6,9,8,9,8
"Cib1",136,89,114,95,71,61
"Gdpgp1",3,3,2,6,4,4
"Ttll13",0,0,0,2,0,0
"Ngrn",63,35,78,43,21,26
"Vps33b",11,9,13,12,15,6
"Prc1",162,106,175,81,60,58
"Rccd1",20,6,12,16,19,15
"Unc45a",187,108,169,179,93,113
"Hddc3",9,3,5,4,3,1
"Man2a2",168,96,134,124,90,67
"Fes",36,21,22,15,4,11
"Furin",199,156,212,305,120,65
"Gm44851",0,0,2,0,0,0
"Blm",56,43,40,26,15,21
"Ndufab1-ps",120,90,121,64,41,44
"Gm42398",0,0,0,0,0,0
"Crtc3",105,58,96,81,53,40
"Gm15880",0,0,0,0,0,1
"Iqgap1",586,631,852,640,388,433
"Zscan2",1,0,0,2,2,0
"Wdr73",60,50,57,48,35,31
"Gm32112",0,0,0,0,0,0
"Nmb",11,7,16,16,3,7
"Gm51451",0,3,0,0,0,0
"Sec11a",217,152,254,167,120,77
"Gm32178",2,0,0,0,0,1
"Zfp592",92,61,140,90,44,52
"Alpk3",1,0,0,0,0,0
"Gm51490",0,0,0,0,0,0
"Slc28a1",0,0,0,0,0,0
"Ndufs6b",38,35,43,33,24,12
"Gm44968",0,0,0,0,0,0
"Pde8a",12,8,22,8,11,5
"Rps17",3265,2032,3269,2520,2191,1693
"Cpeb1",20,11,11,21,13,8
"Ap3b2",0,0,0,0,0,0
"BC048679",0,0,0,0,0,0
"Gm45991",0,0,0,0,0,0
"2900076A07Rik",8,1,9,3,5,4
"Mir1839",0,0,0,0,0,0
"Fsd2",0,0,0,0,0,0
"Whamm",53,59,71,59,39,25
"Homer2",0,0,0,1,0,0
"Mir12203",0,0,0,0,0,0
"Gm32579",0,0,0,0,0,0
"Gm42400",0,0,0,0,0,0
"Ramac",70,48,80,47,35,33
"3110040N11Rik",33,28,23,9,19,14
"Btbd1",57,38,76,49,51,22
"Gm32695",0,0,0,0,0,0
"Gm51491",0,0,0,1,1,0
"Tm6sf1",1,0,0,2,0,0
"Hdgfl3",32,33,47,31,26,24
"Bnc1",0,0,1,0,0,1
"Gm46013",4,2,1,1,0,1
"Gm20744",0,0,0,0,0,0
"Gm32850",0,0,0,0,0,0
"Sh3gl3",0,0,1,1,2,1
"Gm32903",0,0,0,0,0,0
"Gm51492",0,0,0,0,0,0
"Adamtsl3",1,0,0,1,0,2
"Saxo2",3,1,4,0,5,0
"Efl1",45,22,41,27,22,16
"4933406J10Rik",0,0,0,0,0,0
"Gm29796",0,0,0,0,0,0
"Gm36584",0,0,0,0,0,0
"1700010L04Rik",0,0,0,0,0,0
"Mex3b",2,8,22,8,6,3
"4933430H16Rik",0,0,0,0,0,0
"Gm45992",0,0,0,0,0,0
"Gm22934",0,0,0,0,0,0
"Gm36817",0,0,0,0,0,0
"A530021J07Rik",0,0,0,0,0,0
"Gm29976",0,0,0,0,0,0
"Gm10610",0,0,0,0,1,0
"Tmc3",0,2,0,0,0,0
"Gm16638",0,0,0,0,0,0
"Stard5",66,55,62,52,36,28
"Il16",57,54,41,80,43,39
"Cfap161",0,3,3,6,2,0
"Gm39043",1,1,0,2,1,0
"Tlnrd1",27,10,32,20,11,18
"Mesd",152,106,192,154,100,84
"Cemip",11,7,10,43,20,19
"Gm30440",0,0,0,0,1,0
"Abhd17c",14,29,69,33,34,24
"Gm53174",0,0,0,0,0,0
"Gm26708",0,0,0,0,0,0
"Gm39044",0,0,0,0,0,0
"Gm22177",0,0,0,0,0,0
"Gm44827",0,0,0,0,0,0
"Gm53173",0,0,0,0,0,0
"Arnt2",17,15,23,9,16,8
"Gm25790",0,0,0,0,0,0
"Gm30873",4,1,1,3,4,3
"Gm39045",0,0,0,0,0,0
"Gm31284",0,0,0,0,0,0
"Ctxnd1",59,38,56,42,23,21
"Fah",63,57,47,47,25,31
"Zfand6",2,13,66,33,32,18
"2610206C17Rik",0,1,0,0,0,0
"Gm57784",0,0,0,0,0,0
"Gm53362",0,0,0,0,0,0
"Gm6155",7,2,11,4,3,3
"Or5ae2",0,0,0,0,0,0
"Gm53363",0,0,0,0,0,0
"Or5ae1",0,0,0,0,0,0
"Vmn2r65",0,0,0,0,0,0
"Vmn2r66",0,0,0,0,0,0
"Vmn2r67",0,0,0,0,0,0
"Vmn2r68",0,0,0,0,0,0
"Vmn2r69",0,0,0,0,0,0
"Vmn2r70",0,0,0,0,0,0
"Vmn2r71",0,0,0,0,0,0
"Vmn2r72",0,0,0,0,0,0
"Vmn2r73",0,0,0,0,0,0
"Vmn2r74",0,0,0,0,0,0
"Vmn2r75",0,0,0,0,0,0
"Vmn2r76",0,0,0,0,0,0
"Or14c46",0,0,0,0,0,0
"Or13g1",0,0,0,0,0,0
"Or6f1",0,0,0,0,0,0
"Or14a260",0,0,0,0,0,0
"Or14a259",0,0,0,0,0,0
"Or14a258",0,0,0,0,0,0
"Or6aa1",0,0,0,0,0,0
"Or14c44",0,0,0,0,0,0
"Or14c43",0,0,0,0,0,0
"Or14a257",0,0,0,0,0,0
"Or14c45",0,0,0,0,0,0
"Or14c41",0,0,0,0,0,0
"Or14a256",0,0,0,0,0,0
"Or14c40",0,0,0,0,0,0
"Or14c39",0,0,0,0,0,0
"Folh1",0,0,0,0,0,0
"Vmn2r77",1,0,1,0,0,0
"Gm39047",0,0,0,0,0,0
"Vmn2r78",1,0,0,0,0,0
"Vmn2r79",0,0,0,0,0,0
"Nox4",0,0,0,0,0,0
"Tyr",0,0,0,0,0,1
"Gm57515",0,0,0,0,0,0
"Grm5",0,0,0,0,0,0
"Gm24249",0,0,0,0,0,0
"Ctsc",94,60,71,43,37,26
"Gm25345",0,0,0,0,0,0
"Gm2407",0,0,1,1,0,0
"Rab38",0,2,0,0,0,0
"Gm6240",0,0,0,0,0,0
"Tmem135",2,2,14,3,7,6
"Fzd4",16,15,32,25,18,16
"AI314278",0,0,0,0,0,0
"Prss23",6,7,6,10,15,7
"Me3",1,2,0,1,0,1
"Gm53381",0,0,0,0,0,0
"Gm15744",0,1,0,0,0,0
"Ccdc81",0,0,0,0,0,0
"Hikeshi",37,47,86,59,40,39
"Eed",11,7,17,33,14,7
"E230029C05Rik",0,0,0,0,0,0
"Gm32164",3,0,0,1,0,0
"2310010J17Rik",18,18,10,17,10,9
"Picalm",15,13,63,16,23,17
"Ccdc83",0,0,0,0,0,0
"Sytl2",5,5,8,3,2,2
"Ccdc89",0,1,4,1,0,1
"Crebzf",20,19,70,31,23,18
"Tmem126a",50,30,44,24,19,21
"Tmem126b",1,1,1,2,4,3
"Dlg2",50,24,86,32,17,29
"Gm57513",0,0,0,0,0,0
"Gm45162",7,3,23,7,7,11
"Gm39048",0,0,0,0,0,0
"Gm24552",0,0,0,0,0,0
"Gm23928",0,0,0,0,0,0
"Gm32353",0,0,0,0,0,0
"4930567K12Rik",0,0,0,0,0,0
"Gm53382",0,0,0,0,0,0
"Gm31491",0,0,0,0,0,0
"Ccdc90b",7,5,10,3,8,4
"Ankrd42",2,1,2,0,0,1
"Gm26944",1,1,2,2,0,6
"Pcf11",8,5,16,7,1,7
"Gm51467",0,0,0,0,0,0
"Gm2551",0,0,0,0,0,0
"4632427E13Rik",0,1,1,0,1,1
"Rab30",6,1,4,3,9,4
"Ddias",0,0,4,0,0,1
"Prcp",20,15,28,13,13,8
"Gm40448",0,2,2,1,0,0
"Fam181b",0,1,0,0,0,0
"Gm53383",0,0,0,0,0,0
"Gm25860",0,0,0,0,0,0
"Gm15501",1861,1424,2266,1841,1238,942
"Gm51468",0,0,0,0,0,0
"Gm32647",1,0,0,0,0,0
"Gm5899",1,0,0,0,0,0
"Gm19761",0,0,0,0,0,0
"Gm25684",0,0,0,0,0,0
"Gm57510",0,0,0,0,0,0
"Gm39049",0,0,0,0,0,0
"Tenm4",5,2,5,5,7,4
"Mir708",0,0,0,0,0,0
"Mir6394",0,0,0,0,0,0
"Gm15412",0,0,0,0,0,0
"Rps11-ps5",3,0,0,0,0,0
"Gm15413",0,0,0,0,0,0
"Gm22226",0,0,0,0,0,0
"Nars2",2,2,5,3,5,3
"Gab2",30,23,32,27,20,20
"Usp35",9,14,22,12,10,11
"Kctd21",2,2,3,1,2,2
"Alg8",54,32,39,27,17,23
"Ndufc2",333,152,241,114,92,75
"Thrsp",0,0,1,2,2,0
"Gm32945",0,0,0,0,0,0
"Kctd14",0,0,1,0,0,0
"Ints4",64,67,90,64,41,35
"Gm24412",0,0,0,0,0,0
"Aamdc",58,33,41,32,28,26
"Rsf1",42,37,75,40,33,25
"Rsf1os1",0,0,0,0,0,0
"Rsf1os2",0,0,0,0,0,0
"Clns1a",226,155,248,155,89,91
"Aqp11",0,0,0,0,0,0
"Pak1",74,62,76,40,53,33
"Gdpd4",0,0,0,0,0,0
"Myo7a",70,44,51,35,41,19
"Capn5",73,37,58,70,56,42
"Omp",2,0,5,1,1,2
"Gm16938",0,0,0,0,0,0
"B3gnt6",1,0,0,1,0,0
"Acer3",10,8,14,7,8,1
"Tsku",26,14,15,12,15,9
"Gm44507",2,2,6,1,1,3
"Gm39053",0,0,0,0,0,0
"Gucy2d",0,0,0,0,0,0
"Gm44978",0,0,0,0,0,0
"Gm38588",6,4,3,3,0,1
"Lrrc32",276,142,155,138,79,58
"Gm33394",0,0,0,0,0,0
"Gm23040",0,0,0,0,0,0
"Emsy",222,125,205,169,108,102
"Gm15506",2,1,3,6,0,2
"Thap12",109,47,96,61,34,59
"Gm33720",0,0,0,0,0,0
"n-TPtgg8",0,0,0,0,0,0
"n-TPagg7",0,0,0,0,0,0
"Gm39054",0,0,0,0,0,0
"Gm33770",0,0,0,0,0,0
"Wnt11",2,1,1,0,0,0
"Gm33827",0,0,0,0,0,0
"Uvrag",96,59,122,50,41,44
"Gm8149",1,0,4,1,3,0
"Gm23479",0,0,0,0,0,0
"Gm33882",3,1,3,2,2,3
"Dgat2",223,100,144,64,37,34
"Mogat2",11,6,8,7,3,4
"Gm34062",0,0,0,0,0,0
"Gm26705",0,2,0,0,0,1
"Map6",40,43,48,56,34,27
"Gm40449",7,11,11,17,6,10
"Serpinh1",1099,814,963,735,504,413
"Gdpd5",25,28,35,24,22,14
"Klhl35",0,1,0,1,1,1
"Rps3",3954,2838,3487,2745,1943,1677
"Snord15b",0,0,0,0,0,0
"Snord15a",0,0,0,0,0,0
"Gm39056",0,0,0,0,0,0
"Gm40450",0,0,0,0,0,0
"Gm34172",0,0,0,0,0,0
"Arrb1",63,35,48,28,32,19
"Mir326",0,0,0,0,0,0
"Tpbgl",0,0,0,0,1,0
"Gm53384",0,0,0,0,0,0
"Gm25409",0,0,0,0,0,0
"Slco2b1",0,0,0,0,0,0
"Gm34280",0,0,0,0,0,0
"Or2at4",0,0,0,0,0,0
"Or2at1",0,0,0,0,0,0
"Neu3",1,0,3,1,1,1
"Spcs2",163,124,186,101,67,82
"Xrra1",1,1,2,4,0,1
"Gm38405",0,0,0,0,0,0
"Rnf169",76,50,65,65,60,29
"Gm5115",3,1,0,4,0,1
"Chrdl2",0,0,1,0,0,0
"Pold3",64,46,66,48,36,35
"Gm34760",0,0,0,0,0,0
"Gm51452",0,0,0,0,0,0
"Lipt2",3,1,3,4,4,1
"Gm39057",0,0,0,0,0,0
"Gm34821",0,0,0,0,0,0
"Kcne3",0,0,1,0,0,0
"Gm51453",0,0,0,0,0,0
"Gm45994",0,0,0,0,0,0
"Gm34877",0,0,0,0,0,0
"Pgm2l1",5,5,14,13,11,5
"Gpx2-ps1",0,0,1,1,0,0
"P4ha3",11,10,5,0,4,0
"Ppme1",151,111,196,121,97,91
"C2cd3",13,22,28,30,17,18
"Gm10603",0,0,0,0,1,0
"Ucp3",1,0,0,0,0,0
"Ucp2",86,57,82,27,24,19
"Dnajb13",0,0,0,0,0,0
"Gm39058",0,0,0,2,0,0
"Coa4",11,7,14,9,7,6
"Gm39059",0,0,0,0,0,0
"Mrpl48",141,97,124,123,81,85
"Rab6a",4,25,135,61,62,43
"Plekhb1",1,0,1,1,0,0
"Gm53385",0,0,0,0,0,0
"Gm35082",0,0,0,2,1,1
"Fam168a",95,58,101,81,69,48
"Relt",32,18,33,23,11,17
"Arhgef17",270,174,270,167,139,88
"Mir3102",0,0,0,0,0,0
"P2ry6",1,1,3,0,0,0
"P2ry2",8,4,4,2,2,4
"Fchsd2",11,10,18,15,10,11
"Gm47324",1,0,0,0,1,0
"Gm50587",10,4,3,7,2,2
"Gm57508",7,7,16,16,10,8
"Atg16l2",28,13,18,30,16,8
"Stard10",144,79,110,81,69,57
"Gm20476",0,1,0,0,0,0
"Gm35219",4,4,8,8,3,4
"Arap1",92,55,54,69,32,45
"Pde2a",61,47,60,35,44,23
"Mir139",0,0,0,0,0,0
"Gm35363",1,0,0,0,0,0
"Gm19765",0,0,0,0,0,0
"Art2a",0,0,0,0,0,1
"Art2b",0,0,0,0,0,0
"Gm45995",0,0,0,0,0,0
"Clpb",216,106,247,280,206,178
"Phox2a",0,0,0,0,0,0
"Inppl1",258,136,182,142,83,81
"Gm10602",0,2,1,0,0,0
"Folr2",0,0,0,0,0,1
"Folr1",12,2,5,1,4,0
"Gm35597",0,0,0,0,0,0
"Anapc15",111,70,110,86,64,60
"Tomt",0,0,0,0,0,0
"Lamtor1",384,298,386,307,241,208
"Lrrc51",16,7,8,8,6,12
"Numa1",134,89,100,80,56,52
"Gm39061",2,0,0,3,2,1
"Il18bp",8,5,13,17,6,3
"Rnf121",3,0,1,0,0,0
"Xntrpc",0,0,0,0,0,0
"Xndc1",41,29,43,48,38,30
"Trpc2",0,0,0,0,0,0
"Art5",3,1,0,1,1,4
"Art1",0,0,0,0,0,0
"Chrna10",0,0,0,0,0,0
"Nup98",25,19,36,22,23,20
"Pgap2",23,18,48,29,17,20
"Rhog",381,245,296,211,119,113
"Stim1",162,110,152,93,48,76
"Rrm1",283,193,318,179,140,129
"Or55b3",0,0,0,0,0,0
"Or55b4",0,0,0,0,0,0
"Or55b10",0,0,0,0,0,0
"Gm38627",0,0,0,0,1,0
"Gm8556",5,4,7,6,6,3
"Or52b4",0,0,0,0,0,0
"Or52b3",0,0,0,0,0,0
"Trim21",4,8,16,4,5,8
"Gm5339",0,0,0,0,0,0
"Or51r1",0,0,0,0,0,0
"Or52p2",0,0,0,0,0,0
"Or52k2",0,0,0,0,0,0
"Or52m2",0,0,0,0,0,0
"Or52m1",0,0,0,0,0,0
"Or51h1",0,0,0,0,0,0
"Or52i2",0,0,0,0,0,0
"Trim68",7,10,12,12,9,4
"Or51d1",0,0,0,0,0,0
"Or51e1",0,0,0,0,0,0
"Or51a39",0,0,0,0,0,0
"Or51a25",0,0,0,0,0,0
"Gm24210",0,0,0,0,0,0
"Or51e2",0,0,0,0,0,0
"Or51f23b",0,0,0,0,0,0
"Or51f5",0,0,0,0,0,0
"Or51f23",0,0,0,0,0,0
"Or51f1",0,0,0,0,0,0
"Or51f2",0,0,0,0,0,0
"Or52r1",0,0,0,0,0,0
"Or51a8",0,0,0,0,0,0
"Gm57506",0,0,0,0,0,0
"Or51s1",0,0,0,0,0,0
"Or51h5",0,0,0,0,0,0
"Or51t4",0,0,0,0,0,0
"Or51a6",0,0,0,0,0,0
"Or51a7",0,0,0,0,0,0
"Or51g2",0,0,0,0,0,0
"Or51g1",0,0,0,0,0,0
"Or52r1b",0,0,0,0,0,0
"Or51f1d",0,0,0,0,0,0
"Or52r1c",0,0,0,0,0,0
"Or51f1e",0,0,0,0,0,0
"Or51a5",0,0,0,0,0,0
"Or52e2",0,0,0,0,0,0
"Or52s1b",0,0,0,0,0,0
"Or52j3",0,0,0,0,0,0
"Or52s1",0,0,0,0,0,0
"Or52e3",0,0,0,0,0,0
"Usp17ld",0,0,0,0,0,0
"Or52e19",0,0,0,0,0,0
"Or52ab2",0,0,0,0,0,0
"Or52ab7",0,0,0,0,0,0
"Or52ab4",0,0,0,0,0,0
"Or52ad1",0,0,0,0,0,0
"Or52s19",0,0,0,0,0,0
"Or52e19b",0,0,0,0,0,0
"Usp17lc",0,0,0,0,0,0
"Or52s6",0,0,0,0,0,0
"Or51l14",0,0,0,0,0,0
"Or52d13",0,0,0,0,0,0
"Or52ae7",0,0,0,0,0,0
"Or51af1",0,0,0,0,0,0
"Or51ag1",0,0,0,0,0,0
"Or51aa5",0,0,0,0,0,0
"Or51aa2",0,0,0,0,0,0
"Or51ab3",0,0,0,0,0,2
"Or51ah3",0,0,0,0,0,0
"Or51ac3",0,0,0,0,0,0
"Or52z12",0,0,0,0,0,0
"Or52z13",0,0,0,0,0,0
"Or52z14",0,0,0,0,0,0
"Or51v14",0,0,0,0,0,0
"Or52a33",0,0,0,0,0,0
"Or51b6b",0,0,0,0,0,0
"Or51v8",0,0,0,0,0,0
"Or52a20",0,0,0,0,0,0
"Or52a24",0,0,0,0,0,0
"Or52ae9",0,0,0,0,0,0
"Or51l4",0,0,0,0,0,0
"Or52a5b",0,0,0,0,0,0
"Or52a5",0,0,0,0,0,0
"Or52z1",0,0,0,0,0,0
"Hbb-bt",0,0,0,0,0,0
"Hbb-bs",0,0,0,0,0,0
"Gm15115",0,0,0,0,0,0
"Hbb-bh2",0,0,0,0,0,0
"Hbb-bh1",0,0,0,0,0,0
"Hbb-y",0,0,0,0,0,0
"Or51b4",0,0,0,0,0,0
"Or51b17",0,0,0,0,0,0
"Or51b6",0,0,0,0,0,0
"Or51m1",0,0,0,0,0,0
"Or51ai2",0,0,0,0,0,0
"Or51k2",0,0,0,0,0,0
"Or51q1",0,0,0,0,0,0
"Or51q1c",0,0,0,0,0,0
"Or51k1",0,0,0,0,0,0
"Or51i1",0,0,0,0,0,0
"Or51i2",0,0,0,0,0,0
"Or51a10",0,0,0,0,0,0
"Or51a42",0,0,0,0,0,0
"Or51a43",0,0,0,0,0,0
"Or51a24",0,0,0,0,0,0
"Or52d1",0,0,0,0,0,0
"Ubqln5",0,0,0,0,0,0
"Ubqln3",0,0,0,0,0,0
"Ubqlnl",0,0,0,0,0,0
"Olfm5",0,1,0,0,0,0
"Or52h1",0,0,0,0,0,0
"Or52h2",0,0,0,0,0,0
"Trim6",1,2,0,1,1,1
"Gm8667",38,9,27,14,9,6
"Trim34a",0,0,4,4,2,4
"Trim5",0,0,3,0,3,3
"Gm24846",0,0,0,0,0,0
"Gm57517",0,0,0,0,0,0
"Trim12a",35,19,44,33,25,26
"Gm15133",1,1,1,1,1,0
"Gm17788",0,0,0,0,0,0
"Trim34b",0,0,3,4,1,1
"Trim12c",58,42,61,80,39,52
"Gm36430",1,0,0,1,0,0
"Gm38525",1,0,0,0,0,0
"Trim30b",0,0,0,0,0,0
"Trim30c",0,0,0,0,0,0
"Trim30a",8,4,14,14,8,13
"Gm25405",0,0,0,0,0,0
"Trim30d",5,2,9,7,6,6
"Gm6574",0,0,0,0,0,0
"Trim30e-ps1",0,0,0,0,1,0
"Or52h9",0,0,0,0,0,0
"Or52h7",0,0,0,0,0,0
"Or52d3",0,0,0,0,0,0
"Or52u1",0,0,0,0,0,0
"Or52ac1",0,0,0,0,0,0
"Or52p1",0,0,0,0,0,0
"Gm29706",0,0,0,0,0,0
"Or56b1",0,0,0,0,0,0
"Or52n4",0,0,0,0,0,0
"Or52n20",0,0,0,0,0,0
"Or56b2",0,0,0,0,0,0
"Or56b2j",0,0,0,0,0,0
"Usp17le",0,0,0,0,0,0
"Usp17lb",0,0,0,0,0,0
"Usp17la",0,0,0,0,0,0
"Or52n3",0,0,0,0,0,0
"Or52n2",0,0,0,0,0,0
"Or52n2b",0,0,0,0,0,0
"Or52n2c",0,0,0,0,0,0
"Or52n5",0,0,0,0,0,0
"Gm51508",0,0,0,0,0,0
"Or52e18",0,0,0,0,0,0
"Or52e8",0,0,0,0,0,0
"Or52e15",0,0,0,0,0,0
"Or52e8b",0,0,0,0,0,0
"Or52e7",0,0,0,1,0,0
"Or52e4",0,0,0,0,0,0
"Or52e5",0,0,0,0,0,0
"Or56a3",0,0,0,0,0,0
"Or56a3b",0,0,0,0,0,0
"Or56a5",0,0,0,0,0,0
"Or56a4",0,0,0,0,0,0
"Or52l1",0,0,0,0,0,0
"Or52x1",0,0,0,0,0,0
"Or56b6",0,0,0,0,0,0
"Or56b34",0,0,0,0,0,0
"Or56b35",0,0,0,0,0,0
"Gm45331",0,0,0,0,0,0
"Or52b1",0,0,0,0,0,0
"Or52b2",0,0,0,0,0,0
"Or52w1",0,0,0,0,0,0
"Fhip1b",19,25,35,23,18,16
"Gm5901",0,0,0,0,0,0
"Cnga4",0,0,0,1,0,0
"Gm4972",0,0,0,0,0,0
"Cckbr",0,0,0,0,0,0
"Cavin3",135,105,125,85,58,50
"Gm36847",0,0,0,0,0,0
"Gm39063",0,0,0,0,0,0
"Smpd1",311,173,216,181,124,93
"Apbb1",128,76,143,124,76,47
"Hpx",11,5,9,5,1,4
"Trim3",117,72,104,85,50,47
"Arfip2",155,88,138,140,66,65
"Timm10b",253,180,246,159,113,100
"Gm22504",0,0,0,0,0,0
"Dnhd1",2,2,4,4,2,3
"Rrp8",11,21,46,25,16,5
"Ilk",290,193,330,345,185,173
"Taf10",281,213,278,187,110,120
"Tpp1",125,151,264,213,144,104
"Dchs1",19,10,15,16,11,11
"Gm57787",1,1,0,1,1,0
"Mrpl17",396,296,405,262,186,149
"Gvin-ps1",0,1,0,1,4,1
"Gvin2",9,7,17,34,54,39
"Gvin-ps2",0,0,1,1,0,0
"Gvin-ps3",2,1,4,3,7,4
"Gvin1",9,6,17,35,55,39
"Gvin-ps4",0,0,1,1,0,0
"Gvin-ps5",2,1,4,3,7,3
"Gvin-ps6",0,0,0,0,0,0
"Gm22372",0,0,0,0,0,0
"Gm8995",7,2,5,5,11,5
"Gm39065",0,0,0,0,0,0
"Gvin3",0,0,0,0,0,0
"Or2ag12",0,0,0,0,0,0
"Or2ag1b",0,0,0,0,0,0
"Or2ag13",0,0,0,0,0,0
"Or2ag15",0,0,0,0,0,0
"Or2ag16",0,0,0,0,0,0
"Or2ag17",0,0,0,0,0,0
"Or2ag18",0,0,0,0,0,0
"Or2ag2b",0,0,0,0,0,0
"Or13n4",0,0,0,0,0,0
"Or2ag19",0,0,0,0,0,0
"Or2ag20",0,0,0,0,0,0
"Or2ag1",0,0,0,0,0,0
"Or2ag2",0,0,0,0,0,0
"Or2d3",0,0,0,0,0,0
"Or2d3b",0,0,0,0,0,0
"Or2d4",0,0,0,0,0,0
"Or6b9",0,0,0,0,0,0
"Or6b6",0,0,0,0,0,0
"Or6a2",0,0,0,0,0,0
"Or10a5",0,0,0,0,0,0
"Or10a2",0,0,0,0,0,0
"Or10a4",0,0,0,0,0,0
"Or2d2b",0,0,0,0,0,0
"Nlrp14",0,0,0,0,0,0
"Or2d2",0,0,0,0,0,0
"Or2d36",0,0,0,0,0,0
"Rbmxl2",0,0,0,0,0,0
"Syt9",0,0,0,0,0,0
"Olfml1",0,0,0,0,2,1
"Ppfibp2",2,1,1,0,6,2
"Cyb5r2",0,0,0,2,1,1
"Ovch2",0,0,0,0,0,0
"Or5p5",0,0,0,0,0,0
"Or5p50",0,0,0,0,0,0
"Or5p51",0,0,0,0,0,0
"Or5p5c-ps1",0,0,0,0,0,1
"Or5p52",0,0,0,0,0,0
"Or5p53",0,0,0,0,0,0
"Or5p54",0,0,0,0,0,0
"Or5p55",0,0,0,0,0,0
"Or5p56",0,0,0,0,0,0
"Or5p6",0,0,0,0,0,0
"Or10ab4",0,0,0,0,0,0
"Or5p57",0,0,0,0,0,0
"Or5p4",0,0,0,0,0,0
"Gm4199",38,31,49,26,21,20
"Or5p58",0,0,0,0,0,0
"Or5p59",0,0,0,0,0,0
"Gm25424",0,0,0,0,0,0
"Or5p60",0,0,0,0,0,0
"Or5p61",0,0,0,0,0,0
"Or5p62",0,0,0,0,0,0
"Gm39066",0,0,0,0,0,0
"Or5p63",0,0,0,0,0,0
"Or5p64",0,0,0,0,0,0
"Or5p66",0,0,0,0,0,0
"Or5p1",0,0,0,0,0,0
"Or5p67",0,0,0,0,0,0
"Or5p68",0,0,0,0,0,0
"Or5p69",0,0,0,0,0,0
"Gm45392",0,0,0,0,0,0
"Or5p70",0,0,0,0,0,0
"Or5p72",0,0,0,0,0,0
"Gm44611",0,0,0,0,0,0
"Or5p73",0,0,0,0,0,0
"Or5p76",0,0,0,0,0,0
"Or52n4b",0,0,0,0,0,0
"Or56b1b",0,0,0,0,0,0
"Or5p78",0,0,0,0,0,0
"Or5p79",0,0,0,0,0,0
"Or5p80",0,0,0,0,0,0
"Or10ab5",0,0,0,0,0,0
"Or5p81",0,0,0,0,0,0
"Or10a3m",0,0,0,0,0,0
"Or5e1",0,0,0,0,0,0
"Or10a48",0,0,0,0,0,0
"Or10a3b",0,0,0,0,0,0
"Or10a49",0,0,0,0,0,0
"Or10a3",0,0,0,0,0,0
"Or10a3n",0,0,0,0,0,0
"Nlrp10",0,0,0,0,0,0
"Eif3f",606,480,595,479,346,229
"Gm39067",0,0,0,0,0,0
"Gm32309",0,0,0,0,0,0
"Tub",0,0,0,0,0,0
"Ric3",0,0,0,1,0,0
"Gm25450",0,0,0,0,0,0
