name,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3,knockdown_4
Gm38989,10,1,5,3,3,8,4
n-TTagt9,0,0,0,0,0,0,0
Wdr88,0,0,0,0,0,0,0
Gpatch1,114,52,83,63,69,60,52
Rhpn2,18,6,1,10,11,25,5
Gm51476,0,0,0,0,0,0,1
Faap24,43,47,63,65,26,100,87
Cep89,116,74,74,108,83,153,115
Gm42378,0,0,0,0,0,0,0
Slc7a9,0,0,0,2,0,0,2
Tdrd12,2,1,0,0,1,2,0
Nudt19,188,131,207,181,83,280,169
Rgs9bp,0,0,1,0,0,0,0
Ankrd27,107,76,131,122,59,156,108
Pdcd5,319,241,456,317,187,482,286
Gm42379,0,0,0,0,0,0,0
Dpy19l3,79,46,85,61,45,93,54
Zfp507,28,32,29,26,33,35,44
E130304I02Rik,0,0,2,0,0,0,0
Gm36234,0,0,0,0,0,0,0
Gm38990,0,0,0,0,0,0,0
Gm36286,0,1,0,0,0,1,0
Gm38991,3,0,0,0,1,0,2
Gm36340,0,0,0,0,0,0,0
Gm46016,0,0,0,0,0,0,0
Gm38992,0,0,0,0,0,0,0
Gm36420,0,0,0,0,0,0,0
Gm36722,3,4,8,13,3,6,2
Tshz3,73,154,209,166,105,192,165
Gm36567,0,0,0,0,0,1,0
Gm36830,0,0,0,0,0,0,0
Gm28076,0,0,0,0,0,0,0
Gm28075,0,0,0,0,0,0,0
Gm38994,0,0,0,0,0,0,0
Gm29919,0,0,0,0,0,0,0
Gm38995,0,0,0,0,0,0,0
Gm38439,0,0,0,0,0,0,0
Gm28077,0,0,0,0,0,0,0
Zfp536,0,1,0,2,1,0,0
Gm30544,0,0,1,1,0,0,0
Gm30483,0,0,0,0,0,0,0
Gm51477,0,0,0,0,0,0,0
4930505M18Rik,0,0,0,0,0,0,0
Gm22302,0,0,0,0,0,0,0
Uri1,142,120,159,168,97,223,150
Gm30684,0,0,0,0,0,0,0
Gm30771,0,0,2,0,0,0,0
Ccne1,97,127,116,91,61,143,99
Gm30912,0,0,0,0,0,0,0
Gm22203,0,0,0,0,0,0,0
D530033B14Rik,0,0,0,0,0,0,0
1600014C10Rik,136,114,141,79,57,129,100
Plekhf1,251,103,223,157,91,267,141
Pop4,221,143,257,172,119,373,209
Gm9220,0,0,0,0,0,0,0
Gm4451,0,0,0,0,0,0,0
Gm28453,0,0,0,0,0,0,0
Gm22638,0,0,0,0,0,0,0
Gm6818,0,0,0,0,0,0,0
Gm6605,0,0,0,0,0,0,0
Gm6819,0,0,0,0,0,0,0
Gm5591,0,0,0,0,0,0,0
Gm29087,0,0,0,0,0,0,0
Gm4454,0,0,0,0,0,0,0
Gm57519,0,0,0,0,0,0,0
Gm21115,0,0,0,0,0,0,0
Gm21276,0,0,0,0,0,0,0
1700010N08Rik,0,0,0,0,0,0,0
Gm24797,0,0,0,0,0,0,0
Gm21129,0,0,0,0,0,0,0
Gm21136,0,0,0,0,0,0,0
Gm32110,0,0,0,0,0,0,0
Gm21142,0,0,0,0,0,0,0
Gm57520,0,0,0,0,0,0,0
Gm6833,0,0,0,0,0,0,0
Gm1982,0,0,0,0,0,0,0
Gm33067,0,0,0,0,0,0,0
Gm1988,0,0,0,0,0,0,0
Gm6124,0,0,0,0,0,0,0
Gm33382,0,0,0,0,0,0,0
Gm57521,0,0,0,0,0,0,0
Gm29258,0,0,0,0,0,0,0
Gm9271,0,0,0,0,0,0,0
Gm5114,0,0,0,0,0,0,0
Gm57511,0,0,0,0,0,0,0
Zfp939,8,5,12,8,9,4,9
Gm51478,0,0,0,0,0,0,0
Gm28455,2,0,2,1,0,0,1
Zfp619,2,2,11,6,1,3,9
Gm33989,27,16,37,23,22,46,46
Gm26327,0,0,0,0,0,0,0
Gm2021,0,0,0,0,0,0,0
Gm34052,0,0,0,0,0,0,0
Gm38996,0,0,0,0,0,0,0
4933402C06Rik,0,0,0,0,0,0,0
A230077H06Rik,0,1,0,0,0,1,0
Gm25784,0,0,0,0,0,0,0
Gm51479,0,0,0,0,0,0,0
Vstm2b,42,34,72,14,8,33,25
4930433I11Rik,0,0,0,0,0,0,0
Gm38997,0,0,0,0,0,0,0
Gm4884,0,0,0,0,0,0,0
1700110I07Rik,0,0,0,0,0,0,0
Gm9239,0,0,0,0,0,0,0
Gm6820,0,0,0,0,0,0,0
Gm2128,0,0,0,0,0,0,0
Gm34811,0,0,0,0,0,0,0
Gm6866,0,0,0,0,0,0,0
Gm5592,0,0,0,0,0,0,0
AI987944,40,15,50,31,24,36,30
Gm17102,0,0,0,0,0,0,0
Vmn2r57,0,0,0,0,0,0,0
AW146154,5,6,4,4,7,7,3
Gm6871,0,0,0,0,0,0,0
Gm51480,0,0,0,0,0,0,0
Zfp788,10,4,15,3,5,5,2
Vmn2r-ps54,0,0,0,0,0,0,0
Vmn2r58,0,0,0,0,0,0,0
Vmn2r59,0,0,0,0,0,0,0
Ccnb1-ps,0,1,0,1,0,1,1
Vmn2r60,0,0,1,0,0,0,0
Vmn2r61,0,0,0,0,0,0,0
Vmn2r-ps60,0,0,0,0,0,0,0
4933421I07Rik,0,1,0,0,0,0,0
Zfp141,14,12,25,16,16,22,11
Gm35353,0,0,0,1,0,0,0
Gm53386,0,0,0,0,0,0,0
Zfp977,0,0,0,1,0,1,0
Zfp976,25,19,41,16,15,40,27
Zfp975,10,2,17,6,8,8,11
Gm38998,0,0,0,0,3,0,0
LOC115486519,0,0,0,0,0,0,0
Vmn2r62,0,0,0,0,0,0,0
Gm2381,0,0,0,0,0,0,0
Vmn2r63,0,0,0,0,0,0,0
Gm9266,0,0,0,0,0,0,0
Vmn2r-ps158,1,2,0,0,1,0,0
Gm17768,2,0,0,0,0,0,0
Zfp936,0,0,0,0,0,0,0
