Fbn1,5473.9,7772.8,3749.8,0.483,-1.1,0.15,-6.84,7.9e-12,1.9e-07,0,0,7640.7,7658.5,8019.1,3154,3570.5,4467.7,3806.9
Fgf18,278.6,418.3,173.8,0.418,-1.3,0.22,-5.74,9.2e-09,2.2e-04,0,0,431.2,450.4,373.4,133,177.2,233.1,152
Fxyd6,1266.6,1884.9,802.9,0.427,-1.2,0.17,-7.26,4.0e-13,9.4e-09,0,0,1807,1769.9,2077.7,759.4,708.8,998.3,745.2
Fyn,230,357.5,134.3,0.377,-1.4,0.22,-6.33,2.4e-10,5.8e-06,0,0,375.8,316.8,379.9,113.1,141.1,178.2,104.7
Galnt16,375.5,638.5,178.2,0.281,-1.8,0.26,-6.94,4.0e-12,9.5e-08,0,0,488.4,735.4,691.8,143.5,144.3,272.1,152.9
Gatm,131,46.5,194.3,4.148,2.1,0.34,6.01,1.9e-09,4.4e-05,0,0,80.3,29.3,30,217.9,191.3,143.7,224.3
Ggt5,151.3,237.5,86.7,0.362,-1.5,0.27,-5.45,4.9e-08,1.2e-03,0,0,254.8,162.9,294.8,60.8,109.8,94.5,81.6
Gipr,54.7,12.9,86,6.966,2.8,0.55,5.05,4.3e-07,1.0e-02,0,0,6.5,28,4.1,54.5,158.4,56.2,75.1
Gm41910,29.9,6.8,47.3,7.192,2.8,0.46,6.2,5.7e-10,1.4e-05,0,0,6.5,8.9,4.9,55.5,45.5,32.6,55.6
Gm6093,168.1,65,245.4,3.833,1.9,0.34,5.66,1.6e-08,3.7e-04,0,0,35.1,114.5,45.4,282.8,232.1,193.5,273.4
Gpr15lg,29.8,7.7,46.4,6.335,2.7,0.44,6.02,1.7e-09,4.0e-05,0,0,7.4,11.5,4.1,51.3,51.7,36.4,46.3
Gsn,5241.9,9360.5,2153,0.23,-2.1,0.27,-7.95,1.9e-15,4.5e-11,0,0,9092.2,5332.6,13656.8,2004.9,2338,2414.3,1854.8
Gstm1,895.5,1436.1,490.1,0.342,-1.5,0.31,-5.01,5.5e-07,1.3e-02,0,0,1771,850,1687.3,473.5,431.2,747.9,307.7
Hilpda,367.7,168.1,517.4,3.096,1.6,0.22,7.41,1.2e-13,2.9e-09,0,0,171.7,193.4,139.3,428.4,445.3,683.4,512.6
Hmcn2,74.8,135.5,29.3,0.213,-2.2,0.41,-5.43,5.7e-08,1.3e-03,0,0,98.8,89.1,218.7,14.7,45.5,35.8,21.3
Hmga2,38.5,8.3,61.1,7.321,2.9,0.4,7.15,8.5e-13,2.0e-08,0,0,12,6.4,6.5,74.4,54.9,61.3,53.8
Hoxc8,41.1,5.5,67.7,11.95,3.6,0.67,5.32,1.1e-07,2.5e-03,0,0,4.6,3.8,8.1,84.8,97.2,8.3,80.6
Hoxc9,34.6,3.5,57.9,16.227,4,0.7,5.74,9.3e-09,2.2e-04,0,0,5.5,2.5,2.4,89,76.8,10.9,54.7
Hspb2,72.9,32.4,103.2,3.281,1.7,0.29,5.91,3.4e-09,8.2e-05,0,0,24.9,47.1,25.1,113.1,86.2,109.9,103.8
