"","control_1","control_2","control_3","knockdown_1","knockdown_2","knockdown_3"
"Gm5523",2.87528672344048,2.3830055180795,2.90440142713285,2.08134159948079,2.14294457347419,2.26114355753582
"Terf1",3.68331547694452,4.05566420904507,3.88025005640863,3.57226717255951,3.69463043161127,4.25175635245653
"Rpl7",10.2962076329273,10.0086587103095,10.0622233601737,10.4317324822753,10.0953497165886,10.0156971666082
"Rdh10",7.37321473388276,7.12862819447549,7.38603398775797,6.88564860347601,6.88565133914856,7.01725972767029
"Stau2",3.06812836806728,2.71346479097889,2.85179480174196,2.90360065398042,2.72472568010465,2.5516320406801
"Ube2w",2.82276105642206,2.61149678139333,2.09422497246909,3.07240562731848,2.61420386244963,3.06314184387745
"Eloc",6.26902631033873,6.13624202025678,5.55963511209055,6.11374670246668,6.18320235932424,6.07731864403183
"Tmem70",4.90200770601805,5.26905570719755,5.62379138906227,5.75906804032195,5.2030025750343,5.39977805260274
"Pkhd1",2.38923070284366,1.46182044596844,1.90063815606268,2.60636380966635,1.78309583063871,1.40881848446701
"Gm15795",5.42678735790173,5.37399072272284,5.6701030622241,5.13404250072324,5.39908068853033,5.32478328020163
"Mcm3",7.22424452405475,7.62206906925547,7.20389694307366,7.07644208749046,7.19256083987076,7.35226751705857
"Paqr8",5.52046332689368,5.62358646194353,5.24980775439192,6.01877364036624,6.23080156589674,5.91636081607611
"Tmem14a",2.5911518385325,3.02245021917611,2.61979119336689,3.18719316423345,3.09766450340868,2.63677331011049
"Gsta3",0.64711639856469,1.57451089555163,0.668162087533733,2.43110014787153,2.36397439915429,2.46114924268585
"Gm53541",2.23698284894031,1.33957609166922,2.09422497246909,1.72385304881176,1.88181564207747,1.59053768549306
"Ogfrl1",2.92596702447778,3.2767912210546,3.22708099968714,3.22351207179882,2.82737980900929,3.29036331135562
"Smap1",6.18828642653255,5.57700282198069,6.38586575185334,5.6697579556875,6.35628572632984,5.97476073147648
"Sdhaf4",5.15664296406935,4.4740527420836,5.04246089785116,5.05562921638053,4.83529470492732,4.9454360931536
"Fam135a",2.7115992619406,3.60331706418307,4.24906802499942,4.38894545017892,3.6107612760736,4.52174842850784
"Lmbrd1",3.49474504736878,4.2031778368529,4.81404552928195,4.88472816162789,4.39172631565682,4.38077026398047
"Gm7846",3.39033161132656,3.62964012329699,2.74045162029011,3.51481038228478,2.55559668513252,3.12338929597895
"Phf3",5.52046332689368,5.693879494876,5.6927130813498,5.82555646587513,5.79710174551054,5.7732695041296
"Ptp4a1",5.23912309631125,5.04290292928065,5.88822753043469,5.39512771469685,5.62964090500302,5.99102123587332
"Prim2",5.70590715395668,5.58375042884581,5.50957337243517,5.56042355145008,5.60094670316548,5.47106629662841
"Rab23",4.4265190758366,3.82453715939789,3.85374245745196,3.25893908153402,3.9661509242411,3.39182608652142
"Bag2",6.22416734946068,6.11776396518617,5.92051444431285,5.78360164625171,6.04624061093482,5.9500210908594
"Zfp451",3.90162170915589,3.60331706418307,3.42010166972651,3.57226717255951,4.03211947651929,3.73852795430435
"Dst",6.39579603807935,6.39597638861979,6.13382231717789,5.80173188301113,6.2494100562163,6.18017597403741
"Gm51742",1.65079592266726,0.894841895692927,2.18207540977542,1.72385304881176,0.576924504074605,0.665336196316975
"Gm3052",1.87371322506317,1.86778119808812,1.25901527761821,2.23156192092153,0.984887705496488,2.26114355753582
