"","control_1.bam","control_2.bam","control_3.bam","knockdown_1.bam","knockdown_2.bam","knockdown_3.bam"
"Gm26145",0,0,0,0,0,0
"Gm4850",2,0,2,0,2,0
"Gm57572",0,0,0,0,0,0
"Gm23032",0,0,0,0,0,0
"Gm51754",0,0,0,0,0,0
"Khdrbs2",2,0,0,2,0,1
"Gm25814",0,0,0,0,0,0
"Gm46077",0,0,0,0,0,0
"Gm9839",0,0,0,0,0,0
"Semp2l1",0,0,0,0,0,0
"Gm24732",0,0,0,0,0,0
"Gm39616",0,0,0,0,0,0
"Gm24901",0,0,0,0,0,0
"Gm39617",0,0,0,0,0,0
"Gm25792",0,0,0,0,0,0
"Gm23453",0,0,0,0,0,0
"Prim2",197,212,168,201,197,123
"Gm29228",2,0,1,5,0,0
"1700001G17Rik",0,0,0,1,1,1
"Gm32229",1,1,0,1,0,0
"Rab23",80,61,52,39,62,28
"Bag2",283,308,224,235,269,172
"Zfp451",55,52,38,49,65,36
"Gm15455",3,5,5,8,8,1
"Bend6",2,3,0,2,1,3
"Gm38471",0,0,0,0,1,0
"Dst",319,374,260,238,310,202
"Gm53546",0,1,2,0,0,0
"Gm23792",0,0,0,0,0,0
"Mir6896",0,0,0,0,0,0
"Gm51742",10,6,15,12,4,3
"Gm26788",0,0,0,0,0,0
"Gm3052",12,14,7,18,6,12
"Gm37233",14,14,8,17,15,6
"Mir5103",0,0,0,0,0,0
"n-TEttc1",0,0,0,0,0,0
"Ccdc115",148,190,188,205,154,112
"Imp4",324,317,293,245,280,181
"Gm32504",0,0,0,0,0,0
"Ptpn18",0,2,3,0,1,0
"Gm28417",0,0,0,0,0,1
"4930568A12Rik",0,0,0,0,0,0
"Gm32566",0,0,0,0,0,0
"Prss39",0,0,0,0,0,0
"Cfc1",0,0,0,0,0,0
"Prss40",0,1,0,0,0,0
"Gm28419",0,0,0,0,0,0
"Amer3",0,0,0,0,0,0
"AA619741",0,0,0,0,0,0
"Gm38647",0,0,0,0,0,0
"Arhgef4",0,0,0,0,0,0
"Gm32920",0,0,0,0,0,0
"Gm51813",0,0,0,0,0,0
"Gm32790",2,0,1,2,0,0
"Smim39",0,0,0,0,0,0
"Fam168b",557,607,426,481,488,286
"Plekhb2",357,405,260,377,226,257
"Gm19430",0,0,0,0,0,0
"Gm53547",0,0,0,0,0,0
"Gm25096",0,0,0,0,0,0
"Gm25634",0,0,0,0,0,0
"1110002O04Rik",0,0,0,0,0,0
"Gm33176",1,1,0,0,0,0
"Gm39622",0,0,0,0,0,0
"Gm33222",0,0,0,0,0,0
"Gm39623",0,0,0,0,0,0
"Gm39624",0,0,0,0,0,0
"Hs6st1",193,247,141,209,190,137
"Gm53548",8,7,3,2,2,2
"Gm33280",1,1,0,0,2,3
"Uggt1",251,328,219,311,241,153
"Mir6897",0,0,0,0,0,0
"Gm39625",0,0,0,0,0,0
"Neurl3",300,331,290,266,283,172
"Arid5a",73,101,116,80,60,33
"Kansl3",173,191,219,181,191,128
"Mir6898",0,0,0,0,0,0
"Fer1l5",0,0,0,0,0,0
"Lman2l",33,68,47,30,47,26
"Gm33401",0,0,0,0,0,0
"Gm33454",0,5,5,1,0,2
"Cnnm4",123,158,131,153,108,44
"Cnnm3",63,56,40,30,65,32
"Ankrd23",27,28,19,25,22,18
"Ankrd39",14,15,13,22,15,17
"Sema4c",40,49,22,35,37,28
"Fam178b",6,4,1,1,4,4
"Cox5b",2196,2531,1990,1767,2226,1541
"Actr1b",374,454,400,352,340,213
"4933424G06Rik",0,0,0,0,0,0
"Gm33533",1,3,0,1,1,2
"Zap70",0,0,0,0,0,0
"Tmem131",254,312,306,383,323,217
"n-R5s210",0,0,0,0,0,0
"Vwa3b",0,0,0,0,0,0
"Gm37020",0,0,0,0,0,0
"Cnga3",0,0,0,1,0,3
"Inpp4a",23,21,12,26,22,10
"4930439A04Rik",0,0,0,0,0,0
"Coa5",188,285,218,266,203,170
"Unc50",195,286,212,283,276,194
"Mgat4a",28,24,16,33,25,15
"4930594C11Rik",0,0,0,1,0,0
"Gm39627",0,0,0,0,0,0
"Cracdl",57,79,66,99,97,60
"4930556I23Rik",0,0,0,1,0,0
"4930470B04Rik",0,0,0,0,0,0
"Gm39628",4,0,2,2,4,0
"Tsga10",1,3,3,2,3,0
"Lipt1",11,12,9,18,10,8
"Mitd1",117,129,92,165,134,100
"Mrpl30",814,1043,983,932,881,695
"Lyg2",0,0,0,0,0,0
"Lyg1",0,0,0,0,0,0
"Txndc9",319,296,274,367,363,212
"Eif5b",1622,1638,1702,1609,1670,995
"Gm34448",0,0,2,0,0,0
"Rev1",4,8,0,3,6,6
"Gm5099",0,0,0,0,0,0
"Aff3",0,2,0,0,0,0
"Gm16150",0,1,0,0,0,0
"Gm16152",0,0,0,0,0,0
"Gm34596",0,0,0,0,0,0
"Gm57569",0,0,0,0,0,0
"Lonrf2",0,0,0,0,0,0
"Chst10",0,0,0,0,0,0
"Nms",0,0,0,0,0,0
"Gm35171",0,0,0,0,0,0
"Pdcl3",336,394,311,549,416,287
"Gm35222",0,0,0,0,0,0
"Mir6349",0,0,0,0,0,0
"Npas2",0,1,4,6,0,0
"Gm53549",0,0,0,0,0,0
"Rpl31",4468,4939,6038,4705,5641,3686
"Tbc1d8",4,4,4,3,6,2
"Gm24826",0,0,0,0,0,0
"Gm53550",3,6,1,5,1,2
"Cnot11",139,181,145,209,145,116
"Snord89",0,1,0,0,0,0
"Rnf149",264,321,316,421,373,281
"Gm23722",0,0,0,0,0,0
"Gm51620",0,0,0,0,0,0
"Gm5100",35,38,68,48,15,15
"Creg2",0,0,0,0,0,0
"D930019O06Rik",0,0,0,0,0,1
"Rfx8",0,0,0,0,0,0
"Gm3646",0,0,0,0,0,0
"1700066B17Rik",0,0,0,0,0,0
"Gm35600",0,0,1,0,0,0
"Map4k4",351,352,256,228,313,174
"Gm16894",0,0,0,0,0,0
"Il1r2",0,0,0,0,0,0
"Gm35741",0,0,0,0,0,0
"Il1r1",68,73,51,76,70,56
"Il1rl2",0,0,0,0,1,1
"Il1rl1",1,1,1,1,2,0
"Il18r1",0,1,0,0,2,1
"Il18rap",53,50,45,44,34,33
"Gm35801",0,0,0,0,0,0
"Slc9a4",4,1,0,4,1,3
"Gm37435",0,0,0,0,0,0
"Slc9a2",1,3,1,4,2,3
"Gm37915",0,0,0,1,0,0
"Mfsd9",2,5,6,4,2,0
"Tmem182",0,0,0,0,0,0
"4930448I06Rik",0,0,0,0,0,0
"Gm53551",0,0,0,0,0,0
"Gm39631",0,0,0,0,0,0
"Gm35935",0,0,0,0,0,0
"Gm29260",0,0,0,0,0,0
