ensembl_transcript_id,control_1,control_2,control_3,knockdown_1,knockdown_2,knockdown_3
NM_001009981.2,0,0,0,0,0,0
NM_001010825.3,21,19,18,28,21,5
NM_001010826.3,0,0,0,0,0,6.007
NM_001010827.1,0,0,0,0,0,0
NM_001010828.1,0,0,0,0,0,0
NM_001010829.1,0,0,0,0,0,0
NM_001010830.1,0,0,0,0,0,0
NM_001010831.1,0,0,0,0,0,0
NM_001010833.2,58.774,55.684,40.912,74.53,56.746,34.023
NM_001010834.2,1,1,0,1,0,0
NM_001010835.1,0,0,0,0,0,0
NM_001010836.4,0,0,0,0,0,0
NM_001010837.1,0,0,0,0,0,0
NM_001010838.1,0,0,0,0,0,0
NM_001010839.1,0,0,0,0,0,0
NM_001010840.2,0,0,0,0,0,0
NM_001010930.1,320.601,262.534,268.438,406.76,326.869,231.032
NM_001010937.3,0,0,0,0,0,0
NM_001010941.2,0,0,0,0,0,0
NM_001010973.3,0,0,0,0,0,0
NM_001011517.2,0,0,0,0,0,0
NM_001011518.1,0,0,0,0,0,0
NM_001011519.1,0,0,0,0,0,0
NM_001011520.2,0,0,0,0,0,0
NM_001011523.2,0,0,0,0,0,0
NM_001011524.1,0,0,0,0,0,0
NM_001011525.1,0,0,0,0,0,0
NM_001011527.1,0,0,0,0,0,0
NM_001011528.2,0,0,0,0,0,0
NM_001011529.1,0,0,0,0,0,0
NM_001011530.2,0,0,0,0,0,0
NM_001011531.3,0,0,0,0,0,0
NM_001011532.2,0,0,0,0,0,0
NM_001011533.2,0,0,0,0,0,0
NM_001011534.1,0,0,0,0,0,0
NM_001011535.2,0,0,0,0,0,0
NM_001011536.2,0,0,0,0,0,0
NM_001011542.2,0,0,0,0,0,0
NM_001011662.2,0,0,0,0,0,0
NM_001011684.2,0,0,0,0,0,0
NM_001011687.3,0,0,0,0,0,0
NM_001011695.1,0,0,0,0,0,0
NM_001011707.1,0,0,0,0,0,0
NM_001011721.2,0,0,0,0,0,0
NM_001011732.1,0,0,0,0,0,0
NM_001011733.2,0,0,0,0,0,0
NM_001011734.1,0,0,0,0,0,0
NM_001011735.2,0,0,0,0,0,0
NM_001011736.1,0,0,0,0,0,0
NM_001011737.2,0,0,0,0,0,0
NM_001011738.1,0,0,0,0,0,0
NM_001011739.1,0,0,0,0,0,0
NM_001011740.2,0,0,0,0,0,0
NM_001011741.2,0,0,0,0,0,0
NM_001011742.1,0,0,0,0,0,0
NM_001011743.2,0,0,0,0,0,0
NM_001011748.1,0,0,0,0,0,0
NM_001011749.1,0,0,0,0,0,0
NM_001011750.2,0,0,0,0,0,0
NM_001011751.1,0,0,0,0,0,0
NM_001011752.1,0,0,0,0,0,0
NM_001011753.2,0,0,0,0,0,0
NM_001011754.2,0,0,0,0,0,0
NM_001011755.1,0,0,0,0,0,0
NM_001011756.1,0,0,0,0,0,0
